[0]	train-rmse:128.47156	test-rmse:127.92306
[133]	train-rmse:20.02808	test-rmse:43.15626
[134]	train-rmse:19.99534	test-rmse:43.16857
[135]	train-rmse:19.96180	test-rmse:43.18860
[136]	train-rmse:19.92087	test-rmse:43.20467
[137]	train-rmse:19.90738	test-rmse:43.18912
[138]	train-rmse:19.88902	test-rmse:43.18038
[139]	train-rmse:19.82603	test-rmse:43.20219
[140]	train-rmse:19.79663	test-rmse:43.17164
[141]	train-rmse:19.74135	test-rmse:43.13954
[142]	train-rmse:19.70814	test-rmse:43.13743
[143]	train-rmse:19.67992	test-rmse:43.16047
[144]	train-rmse:19.66391	test-rmse:43.16186
[145]	train-rmse:19.63995	test-rmse:43.16358
[146]	train-rmse:19.59820	test-rmse:43.13808
[147]	train-rmse:19.57301	test-rmse:43.14620
[148]	train-rmse:19.54045	test-rmse:43.11456
[149]	train-rmse:19.52250	test-rmse:43.11882
[150]	train-rmse:19.49587	test-rmse:43.09598
[151]	train-rmse:19.46340	test-rmse:43.08503
[152]	train-rmse:19.42298	test-rmse:43.07355
[153]	train-rmse:19.36824	test-rmse:43.02841
[154]	train-rmse:19.33419	test-rmse:43.02919
[155]	train-rmse:19.31218	test-rmse:43.01293
[156]	train-rmse:19.29669	test-rmse:43.00169
[157]	train-rmse:19.28455	test-rmse:42.98389
[158]	train-rmse:19.27194	test-rmse:42.98246
[159]	train-rmse:19.26091	test-rmse:42.98260
[160]	train-rmse:19.24948	test-rmse:42.99993
[161]	train-rmse:19.22225	test-rmse:43.00756
[162]	train-rmse:19.21014	test-rmse:42.99857
[163]	train-rmse:19.19022	test-rmse:43.00010
[164]	train-rmse:19.17687	test-rmse:42.98902
[165]	train-rmse:19.14937	test-rmse:42.99448
[166]	train-rmse:19.10924	test-rmse:42.96111
[167]	train-rmse:19.09450	test-rmse:42.94173
[168]	train-rmse:19.04476	test-rmse:42.92617
[169]	train-rmse:19.02230	test-rmse:42.89524
[170]	train-rmse:19.00907	test-rmse:42.88309
[171]	train-rmse:18.99451	test-rmse:42.87422
[172]	train-rmse:18.97327	test-rmse:42.90384
[173]	train-rmse:18.95346	test-rmse:42.91372
[174]	train-rmse:18.93867	test-rmse:42.89638
[175]	train-rmse:18.92297	test-rmse:42.90707
[176]	train-rmse:18.90689	test-rmse:42.90731
[177]	train-rmse:18.88612	test-rmse:42.90659
[178]	train-rmse:18.87763	test-rmse:42.90498
[179]	train-rmse:18.86795	test-rmse:42.89401
[180]	train-rmse:18.85043	test-rmse:42.87615
[181]	train-rmse:18.83593	test-rmse:42.87323
[182]	train-rmse:18.80699	test-rmse:42.85595
[183]	train-rmse:18.79513	test-rmse:42.84362
[184]	train-rmse:18.78357	test-rmse:42.82163
[185]	train-rmse:18.76698	test-rmse:42.82556
[186]	train-rmse:18.75062	test-rmse:42.82815
[187]	train-rmse:18.74056	test-rmse:42.83085
[188]	train-rmse:18.71466	test-rmse:42.83826
[189]	train-rmse:18.70403	test-rmse:42.83829
[190]	train-rmse:18.69112	test-rmse:42.83588
[191]	train-rmse:18.66734	test-rmse:42.83780
[192]	train-rmse:18.64895	test-rmse:42.79729
[193]	train-rmse:18.64234	test-rmse:42.79579
[194]	train-rmse:18.62690	test-rmse:42.81824
[195]	train-rmse:18.61861	test-rmse:42.82334
[196]	train-rmse:18.60679	test-rmse:42.82606
[197]	train-rmse:18.59460	test-rmse:42.82256
[198]	train-rmse:18.58681	test-rmse:42.82439
[199]	train-rmse:18.57159	test-rmse:42.85263
[200]	train-rmse:18.56263	test-rmse:42.85148
[201]	train-rmse:18.54875	test-rmse:42.84360
[202]	train-rmse:18.53957	test-rmse:42.84607
[203]	train-rmse:18.52444	test-rmse:42.84688
[204]	train-rmse:18.50511	test-rmse:42.82171
[205]	train-rmse:18.49763	test-rmse:42.81813
[206]	train-rmse:18.48820	test-rmse:42.80715
[207]	train-rmse:18.47798	test-rmse:42.82202
[208]	train-rmse:18.47233	test-rmse:42.81531
[209]	train-rmse:18.46393	test-rmse:42.81779
[210]	train-rmse:18.45518	test-rmse:42.81607
[211]	train-rmse:18.44666	test-rmse:42.82863
[212]	train-rmse:18.43631	test-rmse:42.83400
[213]	train-rmse:18.43041	test-rmse:42.83739
Stopping. Best iteration:
[193]	train-rmse:18.64234	test-rmse:42.79579

finished!
predict validation RMSE
42.790185790669334
predict results RMSE
48.590122453025366
predict 14 days result RMSE
32.96968304366907
